,conf,year,publisher,track,title,link
0,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Seoul, South Korea, 27 June - 19 July, 2020.",DeepBillboard: systematic physical-world testing of autonomous driving systems.,https://doi.org/10.1145/3377811.3380422
1,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Seoul, South Korea, 27 June - 19 July, 2020.",Misbehaviour prediction for autonomous driving systems.,https://doi.org/10.1145/3377811.3380353
2,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Seoul, South Korea, 27 June - 19 July, 2020.",A comprehensive study of autonomous vehicle bugs.,https://doi.org/10.1145/3377811.3380397
3,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Seoul, South Korea, 27 June - 19 July, 2020.",Importance-driven deep learning system testing.,https://doi.org/10.1145/3377811.3380391
4,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Seoul, South Korea, 27 June - 19 July, 2020.",ReluDiff: differential verification of deep neural networks.,https://doi.org/10.1145/3377811.3380337
5,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Seoul, South Korea, 27 June - 19 July, 2020.",Dissector: input validation for deep learning applications by crossing-layer dissection.,https://doi.org/10.1145/3377811.3380379
6,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Seoul, South Korea, 27 June - 19 July, 2020.",Towards characterizing adversarial defects of deep learning software from the lens of uncertainty.,https://doi.org/10.1145/3377811.3380368
7,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Seoul, South Korea, 27 June - 19 July, 2020.",TRADER: trace divergence analysis and embedding regulation for debugging recurrent neural networks.,https://doi.org/10.1145/3377811.3380423
8,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Seoul, South Korea, 27 June - 19 July, 2020.",Taxonomy of real faults in deep learning systems.,https://doi.org/10.1145/3377811.3380395
9,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Seoul, South Korea, 27 June - 19 July, 2020.",Testing DNN image classifiers for confusion & bias errors.,https://doi.org/10.1145/3377811.3380400
10,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Seoul, South Korea, 27 June - 19 July, 2020.",Repairing deep neural networks: fix patterns and challenges.,https://doi.org/10.1145/3377811.3380378
11,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Seoul, South Korea, 27 June - 19 July, 2020.",Fuzz testing based data augmentation to improve robustness of deep neural networks.,https://doi.org/10.1145/3377811.3380415
12,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Seoul, South Korea, 27 June - 19 July, 2020.",An empirical study on program failures of deep learning jobs.,https://doi.org/10.1145/3377811.3380362
13,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Companion Volume, Seoul, South Korea, 27 June - 19 July, 2020.",FeatureNET: diversity-driven generation of deep learning models.,https://doi.org/10.1145/3377812.3382153
14,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Companion Volume, Seoul, South Korea, 27 June - 19 July, 2020.",EvalDNN: a toolbox for evaluating deep neural network models.,https://doi.org/10.1145/3377812.3382133
15,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Companion Volume, Seoul, South Korea, 27 June - 19 July, 2020.",Uncertainty-guided testing and robustness enhancement for deep learning systems.,https://doi.org/10.1145/3377812.3382160
16,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Companion Volume, Seoul, South Korea, 27 June - 19 July, 2020.",Does fixing bug increase robustness in deep learning?,https://doi.org/10.1145/3377812.3382175
17,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Companion Volume, Seoul, South Korea, 27 June - 19 July, 2020.",Towards better technical debt detection with NLP and machine learning methods.,https://doi.org/10.1145/3377812.3381404
18,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Companion Volume, Seoul, South Korea, 27 June - 19 July, 2020.",Testing DNN image classifiers for confusion & bias errors.,https://doi.org/10.1145/3377811.3380400
19,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Companion Volume, Seoul, South Korea, 27 June - 19 July, 2020.",Improving automated program repair using two-layer tree-based neural networks.,https://doi.org/10.1145/3377812.3390896
20,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Companion Volume, Seoul, South Korea, 27 June - 19 July, 2020.",Importance-driven deep learning system testing.,https://doi.org/10.1145/3377811.3380391
21,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Companion Volume, Seoul, South Korea, 27 June - 19 July, 2020.",Real-world ethics for self-driving cars.,https://doi.org/10.1145/3377812.3390801
22,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Workshops, Seoul, Republic of Korea, 27 June - 19 July, 2020.",Selective Symbolic Type-Guided Checkpointing and Restoration for Autonomous Vehicle Repair.,https://doi.org/10.1145/3387940.3392201
23,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Workshops, Seoul, Republic of Korea, 27 June - 19 July, 2020.",Learning to Fix Build Errors with Graph2Diff Neural Networks.,https://doi.org/10.1145/3387940.3392181
24,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Workshops, Seoul, Republic of Korea, 27 June - 19 July, 2020.",Deep Learning for Software Defect Prediction: A Survey.,https://doi.org/10.1145/3387940.3391463
25,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Workshops, Seoul, Republic of Korea, 27 June - 19 July, 2020.",Refactoring of Neural Network Models for Hyperparameter Optimization in Serverless Cloud.,https://doi.org/10.1145/3387940.3392268
26,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Workshops, Seoul, Republic of Korea, 27 June - 19 July, 2020.",Metamorphic Fuzz Testing of Autonomous Vehicles.,https://doi.org/10.1145/3387940.3392252
27,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Workshops, Seoul, Republic of Korea, 27 June - 19 July, 2020.",A Testing Tool for Machine Learning Applications.,https://doi.org/10.1145/3387940.3392694
28,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Workshops, Seoul, Republic of Korea, 27 June - 19 July, 2020.",Insights on Training Neural Networks for QUBO Tasks.,https://doi.org/10.1145/3387940.3391470
29,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Workshops, Seoul, Republic of Korea, 27 June - 19 July, 2020.",The Holy Grail of Quantum Artificial Intelligence: Major Challenges in Accelerating the Machine Learning Pipeline.,https://doi.org/10.1145/3387940.3391469
30,ICSE,2020,ACM,"ICSE '20: 42nd International Conference on Software Engineering, Workshops, Seoul, Republic of Korea, 27 June - 19 July, 2020.",Improving Code Recommendations by Combining Neural and Classical Machine Learning Approaches.,https://doi.org/10.1145/3387940.3391489
